2024-10-25 15:47:30 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2024-10-25 15:47:30 [main] INFO  c.a.config.AfrocasaConfigApplication - Starting AfrocasaConfigApplication using Java 17.0.6 on MacBook-Pro.attlocal.net with PID 32757 (/Users/bereketfrezghi/afrocasa-services /AfrocasaConfig/target/classes started by bereketfrezghi in /Users/bereketfrezghi/afrocasa-services )
2024-10-25 15:47:30 [main] INFO  c.a.config.AfrocasaConfigApplication - No active profile set, falling back to 1 default profile: "default"
2024-10-25 15:47:32 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=9f9d2092-fcf5-326d-bdaa-82be698c4207
2024-10-25 15:47:33 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8877 (http)
2024-10-25 15:47:33 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8877"]
2024-10-25 15:47:33 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-10-25 15:47:33 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2024-10-25 15:47:33 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-10-25 15:47:33 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2373 ms
2024-10-25 15:47:36 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-10-25 15:47:36 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@75e4fe3c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7bda01da, org.springframework.security.web.context.SecurityContextPersistenceFilter@3350ab4, org.springframework.security.web.header.HeaderWriterFilter@160c7c42, org.springframework.web.filter.CorsFilter@65ef9a0a, org.springframework.security.web.csrf.CsrfFilter@49e62b17, org.springframework.security.web.authentication.logout.LogoutFilter@5ad0c70a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@338a4c61, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@54234569, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@25216999, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4ef8090b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@646cb2e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2e7a9db7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@77e6761f, org.springframework.security.web.session.SessionManagementFilter@5503c7d, org.springframework.security.web.access.ExceptionTranslationFilter@3514ac7d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5891b7c5]
2024-10-25 15:47:36 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-25 15:47:36 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2024-10-25 15:47:36 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-25 15:47:36 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2024-10-25 15:47:36 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-25 15:47:36 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2024-10-25 15:47:36 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8877"]
2024-10-25 15:47:36 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8877 (http) with context path ''
2024-10-25 15:47:36 [main] INFO  c.a.config.AfrocasaConfigApplication - Started AfrocasaConfigApplication in 7.065 seconds (JVM running for 7.788)
2024-10-25 16:01:28 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
